"","ID","Year","Longitude","Latitude","PA","PAPrev","road_PA","Distance_to_shore","Habitat.boundary_open","Plant.dryness","Patch.shadow","Rainfall_August","Rainfall_July","Sh","PatchArea","Hostm2","Hostm2Prev","ShCat","PropDryPrev","PropDry","PathPresence"
"19","2",7,3101205.13,6711985.491,"0","0","FALSE",302.9483308,"TRUE",0.15,1,30.32912413,20.87488198,150.1269011,3720,3.5,3,"2",0.1,15,FALSE
"20","2",8,3101205.13,6711985.491,"0","0","FALSE",302.9483308,"TRUE",0.02,1,66.72782088,16.29029461,150.1269011,3720,2,3.5,"2",15,2,FALSE
"26","3",2,3100941.298,6710953.246,"0","0","FALSE",314.6274316,"TRUE",0.5,1,22.86162115,49.9184518,168.0674637,2167,1,4,"2",0,50,FALSE
"27","3",3,3100941.298,6710953.246,"0","0","FALSE",314.6274316,"TRUE",0,1,69.46015899,20.26042834,168.0674637,2167,10,1,"2",50,0,FALSE
"28","3",4,3100941.298,6710953.246,"0","0","FALSE",314.6274316,"TRUE",0.02,1,42.76587338,43.34854342,168.0674637,2167,4,10,"2",0,2,FALSE
"29","3",5,3100941.298,6710953.246,"0","0","FALSE",314.6274316,"TRUE",0.1,1,67.20053666,30.85021379,168.0674637,2167,5,4,"2",2,10,FALSE
"30","3",6,3100941.298,6710953.246,"0","0","FALSE",314.6274316,"TRUE",0.009,1,32.95364257,25.44257557,168.0674637,2167,2.5,5,"2",10,0.9,FALSE
"31","3",7,3100941.298,6710953.246,"0","0","FALSE",314.6274316,"TRUE",0.25,1,29.02752905,24.5669428,168.0674637,2167,0.5,2.5,"2",0.9,25,FALSE
"32","3",8,3100941.298,6710953.246,"0","0","FALSE",314.6274316,"TRUE",0.1,1,78.01980654,15.03354293,168.0674637,2167,0.25,0.5,"2",25,10,FALSE
"39","4",3,3101361.306,6710485.035,"0","0","TRUE",4.096830763,"TRUE",0.1,1,62.11128722,19.60214043,188.1951388,4456,35,70,"2",20,10,FALSE
"40","4",4,3101361.306,6710485.035,"0","0","TRUE",4.096830763,"TRUE",0.01,1,49.07454638,42.74826767,188.1951388,4456,30,35,"2",10,1,FALSE
"41","4",5,3101361.306,6710485.035,"0","0","TRUE",4.096830763,"TRUE",0.1,1,67.96154588,31.91270853,188.1951388,4456,21,30,"2",1,10,FALSE
"42","4",6,3101361.306,6710485.035,"1","0","TRUE",4.096830763,"TRUE",0.01,1,34.31187137,25.29476501,188.1951388,4456,34,21,"2",10,1,TRUE
"43","4",7,3101361.306,6710485.035,"0","1","TRUE",4.096830763,"TRUE",0.4,1,26.18812986,21.26746414,188.1951388,4456,30,34,"2",1,40,FALSE
"44","4",8,3101361.306,6710485.035,"1","0","TRUE",4.096830763,"TRUE",0.25,1,81.45716949,16.20416505,188.1951388,4456,17.5,30,"2",40,25,TRUE
"50","5",2,3101447.006,6710154.128,"0","0","FALSE",335.6333814,"TRUE",0.55,1,17.09081107,52.41017388,198.9131123,673,4,5,"2",20,55,FALSE
"51","5",3,3101447.006,6710154.128,"0","0","FALSE",335.6333814,"TRUE",0,1,62.11128722,19.60214043,198.9131123,673,0,4,"2",55,0,FALSE
"53","5",5,3101447.006,6710154.128,"0","0","FALSE",335.6333814,"TRUE",0.02,1,67.96154588,31.91270853,198.9131123,673,3,10,"2",1,2,FALSE
"54","5",6,3101447.006,6710154.128,"0","0","FALSE",335.6333814,"TRUE",0.004,1,34.31187137,25.29476501,198.9131123,673,3.5,3,"2",2,0.4,FALSE
"55","5",7,3101447.006,6710154.128,"0","0","FALSE",335.6333814,"TRUE",0.4,1,26.18812986,21.26746414,198.9131123,673,1,3.5,"2",0.4,40,FALSE
"56","5",8,3101447.006,6710154.128,"0","0","FALSE",335.6333814,"TRUE",0.15,1,81.45716949,16.20416505,198.9131123,673,1,1,"2",40,15,FALSE
"62","6",2,3101629.999,6710205.04,"0","0","FALSE",353.3033136,"TRUE",0.45,1,17.37079713,56.75935049,197.7129408,1965,3,4,"2",15,45,FALSE
"63","6",3,3101629.999,6710205.04,"0","0","FALSE",353.3033136,"TRUE",0,1,68.05628966,21.02716057,197.7129408,1965,10,3,"2",45,0,FALSE
"66","6",6,3101629.999,6710205.04,"0","0","FALSE",353.3033136,"TRUE",0,1,36.24329931,20.77681637,197.7129408,1965,3,22,"2",3,0,FALSE
"67","6",7,3101629.999,6710205.04,"0","0","FALSE",353.3033136,"TRUE",0,1,27.0791488,22.3654602,197.7129408,1965,0,3,"2",0,0,FALSE
"74","7",2,3101578.984,6710178.789,"0","0","TRUE",359.5965788,"TRUE",0.8,1,17.37079713,56.75935049,199.8795108,327,3,3,"2",5,80,FALSE
"75","7",3,3101578.984,6710178.789,"0","0","TRUE",359.5965788,"TRUE",0.1,1,68.05628966,21.02716057,199.8795108,327,3,3,"2",80,10,FALSE
"76","7",4,3101578.984,6710178.789,"0","0","TRUE",359.5965788,"TRUE",0.05,1,49.4637277,42.81369839,199.8795108,327,6,3,"2",10,5,FALSE
"77","7",5,3101578.984,6710178.789,"0","0","TRUE",359.5965788,"TRUE",0,1,64.60511318,28.65234909,199.8795108,327,35,6,"2",5,0,FALSE
"78","7",6,3101578.984,6710178.789,"0","0","TRUE",359.5965788,"TRUE",0.02,1,36.24329931,20.77681637,199.8795108,327,1.5,35,"2",0,2,FALSE
"79","7",7,3101578.984,6710178.789,"0","0","TRUE",359.5965788,"TRUE",0.2,1,27.0791488,22.3654602,199.8795108,327,1.5,1.5,"2",2,20,FALSE
"80","7",8,3101578.984,6710178.789,"0","0","TRUE",359.5965788,"TRUE",0.3,1,84.26106155,16.05746707,199.8795108,327,1.5,1.5,"2",20,30,FALSE
"86","8",2,3101591.144,6710064.993,"0","0","FALSE",470.260882,"TRUE",0.35,1,17.37079713,56.75935049,198.3568824,3849,50,4,"2",4,35,FALSE
"87","8",3,3101591.144,6710064.993,"0","0","FALSE",470.260882,"TRUE",0.1,1,68.05628966,21.02716057,198.3568824,3849,30,50,"2",35,10,FALSE
"89","8",5,3101591.144,6710064.993,"0","0","FALSE",470.260882,"TRUE",0.08,1,64.60511318,28.65234909,198.3568824,3849,20,80,"2",1,8,FALSE
"90","8",6,3101591.144,6710064.993,"0","0","FALSE",470.260882,"TRUE",0.005,1,36.24329931,20.77681637,198.3568824,3849,8,20,"2",8,0.5,FALSE
"91","8",7,3101591.144,6710064.993,"0","0","FALSE",470.260882,"TRUE",0.4,1,27.0791488,22.3654602,198.3568824,3849,30,8,"2",0.5,40,FALSE
"92","8",8,3101591.144,6710064.993,"0","0","FALSE",470.260882,"TRUE",0.2,1,84.26106155,16.05746707,198.3568824,3849,4.5,30,"2",40,20,FALSE
"98","9",2,3101797.864,6710230.89,"0","0","FALSE",425.5852775,"TRUE",0.25,1,17.37079713,56.75935049,199.9998363,1697,1,0.05,"2",5,25,FALSE
"101","9",5,3101797.864,6710230.89,"0","0","FALSE",425.5852775,"TRUE",0,1,64.60511318,28.65234909,199.9998363,1697,0.1,0.5,"2",5,0,FALSE
"102","9",6,3101797.864,6710230.89,"0","0","FALSE",425.5852775,"TRUE",0,1,36.24329931,20.77681637,199.9998363,1697,3,0.1,"2",0,0,FALSE
"103","9",7,3101797.864,6710230.89,"0","0","FALSE",425.5852775,"TRUE",0,1,27.0791488,22.3654602,199.9998363,1697,0.2,3,"2",0,0,FALSE
"104","9",8,3101797.864,6710230.89,"0","0","FALSE",425.5852775,"TRUE",0.1,1,84.26106155,16.05746707,199.9998363,1697,1,0.2,"2",0,10,FALSE
"110","10",2,3101776.037,6710392.883,"0","0","FALSE",311.3978182,"TRUE",0.45,1,17.37079713,56.75935049,192.772278,3986,25,30,"2",20,45,FALSE
"111","10",3,3101776.037,6710392.883,"0","0","FALSE",311.3978182,"TRUE",0.8,1,68.05628966,21.02716057,192.772278,3986,40,25,"2",45,80,FALSE
"112","10",4,3101776.037,6710392.883,"0","0","FALSE",311.3978182,"TRUE",0.04,1,49.4637277,42.81369839,192.772278,3986,60,40,"2",80,4,FALSE
"113","10",5,3101776.037,6710392.883,"0","0","FALSE",311.3978182,"TRUE",0.05,1,64.60511318,28.65234909,192.772278,3986,50,60,"2",4,5,FALSE
"114","10",6,3101776.037,6710392.883,"0","0","FALSE",311.3978182,"TRUE",0,1,36.24329931,20.77681637,192.772278,3986,31,50,"2",5,0,FALSE
"115","10",7,3101776.037,6710392.883,"0","0","FALSE",311.3978182,"TRUE",0.4,1,27.0791488,22.3654602,192.772278,3986,20,31,"2",0,40,FALSE
"116","10",8,3101776.037,6710392.883,"0","0","FALSE",311.3978182,"TRUE",0.4,1,84.26106155,16.05746707,192.772278,3986,30.5,20,"2",40,40,FALSE
"122","11",2,3101749.642,6710603.992,"0","0","FALSE",202.6512278,"TRUE",0.1,2,17.37079713,56.75935049,191.1704137,1117,3,15,"2",20,10,FALSE
"123","11",3,3101749.642,6710603.992,"0","0","FALSE",202.6512278,"TRUE",0.05,2,68.05628966,21.02716057,191.1704137,1117,0,3,"2",10,5,FALSE
"124","11",4,3101749.642,6710603.992,"0","0","FALSE",202.6512278,"TRUE",0.01,2,49.4637277,42.81369839,191.1704137,1117,2,0,"2",5,1,FALSE
"125","11",5,3101749.642,6710603.992,"0","0","FALSE",202.6512278,"TRUE",0.05,2,64.60511318,28.65234909,191.1704137,1117,2,2,"2",1,5,FALSE
"126","11",6,3101749.642,6710603.992,"0","0","FALSE",202.6512278,"TRUE",0,2,36.24329931,20.77681637,191.1704137,1117,3,2,"2",5,0,FALSE
"127","11",7,3101749.642,6710603.992,"0","0","FALSE",202.6512278,"TRUE",0,2,27.0791488,22.3654602,191.1704137,1117,0.15,3,"2",0,0,FALSE
"128","11",8,3101749.642,6710603.992,"0","0","FALSE",202.6512278,"TRUE",0.2,2,84.26106155,16.05746707,191.1704137,1117,0.3,0.15,"2",0,20,FALSE
"134","12",2,3101537.872,6710172.689,"0","0","FALSE",350.6536693,"TRUE",0.95,1,17.37079713,56.75935049,200.8004712,4347,2,2,"2",10,95,FALSE
"135","12",3,3101537.872,6710172.689,"0","0","FALSE",350.6536693,"TRUE",0,1,68.05628966,21.02716057,200.8004712,4347,0,2,"2",95,0,FALSE
"136","12",4,3101537.872,6710172.689,"0","0","FALSE",350.6536693,"TRUE",0.02,1,49.4637277,42.81369839,200.8004712,4347,2,0,"2",0,2,FALSE
"137","12",5,3101537.872,6710172.689,"0","0","FALSE",350.6536693,"TRUE",0,1,64.60511318,28.65234909,200.8004712,4347,0.5,2,"2",2,0,FALSE
"138","12",6,3101537.872,6710172.689,"0","0","FALSE",350.6536693,"TRUE",0.004,1,36.24329931,20.77681637,200.8004712,4347,0.75,0.5,"2",0,0.4,FALSE
"139","12",7,3101537.872,6710172.689,"0","0","FALSE",350.6536693,"TRUE",0,1,27.0791488,22.3654602,200.8004712,4347,0.3,0.75,"2",0.4,0,FALSE
"140","12",8,3101537.872,6710172.689,"0","0","FALSE",350.6536693,"TRUE",0.15,1,84.26106155,16.05746707,200.8004712,4347,0.25,0.3,"2",0,15,FALSE
"146","13",2,3102427.423,6709839.335,"0","0","FALSE",229.3176119,"TRUE",0.3,1,16.84412454,48.24134224,191.567655,509,3,8,"2",20,30,FALSE
"147","13",3,3102427.423,6709839.335,"0","0","FALSE",229.3176119,"TRUE",0.05,1,66.48205678,22.94359605,191.567655,509,2,3,"2",30,5,FALSE
"148","13",4,3102427.423,6709839.335,"0","0","FALSE",229.3176119,"TRUE",0.01,1,40.62512169,46.54261195,191.567655,509,30,2,"2",5,1,FALSE
"149","13",5,3102427.423,6709839.335,"0","0","FALSE",229.3176119,"TRUE",0,1,55.52991469,20.57956002,191.567655,509,25,30,"2",1,0,FALSE
"150","13",6,3102427.423,6709839.335,"0","0","FALSE",229.3176119,"TRUE",0,1,43.59549191,18.24081502,191.567655,509,6,25,"2",0,0,FALSE
"151","13",7,3102427.423,6709839.335,"0","0","FALSE",229.3176119,"TRUE",0,1,32.09877127,23.43298255,191.567655,509,1,6,"2",0,0,FALSE
"152","13",8,3102427.423,6709839.335,"0","0","FALSE",229.3176119,"TRUE",0.3,1,79.02989702,15.20823181,191.567655,509,4,1,"2",0,30,FALSE
"158","15",2,3101924.919,6709264.383,"0","1","TRUE",165.2667918,"TRUE",0.9,1,19.35745671,54.99731509,188.308584,982,7,8,"2",10,90,FALSE
"159","15",3,3101924.919,6709264.383,"0","0","TRUE",165.2667918,"TRUE",0.4,1,57.12631967,20.29436072,188.308584,982,20,7,"2",90,40,FALSE
"160","15",4,3101924.919,6709264.383,"1","0","TRUE",165.2667918,"TRUE",0.02,1,52.37405718,49.01240733,188.308584,982,35,20,"2",40,2,TRUE
"161","15",5,3101924.919,6709264.383,"0","1","TRUE",165.2667918,"TRUE",0.08,1,63.79912432,29.12320222,188.308584,982,16,35,"2",2,8,FALSE
"162","15",6,3101924.919,6709264.383,"0","0","TRUE",165.2667918,"TRUE",0,1,45.64604318,21.18110019,188.308584,982,18,16,"2",8,0,FALSE
"163","15",7,3101924.919,6709264.383,"0","0","TRUE",165.2667918,"TRUE",0.8,1,32.24047349,31.18813156,188.308584,982,8,18,"2",0,80,FALSE
"164","15",8,3101924.919,6709264.383,"0","0","TRUE",165.2667918,"TRUE",0,1,73.31130323,14.13430996,188.308584,982,11,8,"2",80,0,FALSE
"170","16",2,3101743.239,6709498.678,"0","0","FALSE",411.9887903,"TRUE",0.85,1,17.93277951,52.8606824,195.7177825,4486,2,4,"2",20,85,FALSE
"171","16",3,3101743.239,6709498.678,"0","0","FALSE",411.9887903,"TRUE",0.3,1,57.45733692,21.00679475,195.7177825,4486,3,2,"2",85,30,FALSE
"172","16",4,3101743.239,6709498.678,"0","0","FALSE",411.9887903,"TRUE",0.02,1,54.169719,42.85017993,195.7177825,4486,10,3,"2",30,2,FALSE
"173","16",5,3101743.239,6709498.678,"0","0","FALSE",411.9887903,"TRUE",0.02,1,65.74278115,30.59876206,195.7177825,4486,2.5,10,"2",2,2,FALSE
"174","16",6,3101743.239,6709498.678,"0","0","FALSE",411.9887903,"TRUE",0.002,1,50.47669687,21.68881144,195.7177825,4486,6,2.5,"2",2,0.2,FALSE
"175","16",7,3101743.239,6709498.678,"0","0","FALSE",411.9887903,"TRUE",0.45,1,29.12360036,27.13173244,195.7177825,4486,2,6,"2",0.2,45,FALSE
"176","16",8,3101743.239,6709498.678,"0","0","FALSE",411.9887903,"TRUE",0.05,1,77.01209523,15.05084452,195.7177825,4486,7,2,"2",45,5,FALSE
"182","17",2,3101523.862,6709742.962,"0","0","TRUE",657.5650969,"TRUE",0.4,1,17.93277951,52.8606824,198.4450957,3747,15,20,"2",15,40,FALSE
"183","17",3,3101523.862,6709742.962,"0","0","TRUE",657.5650969,"TRUE",0.4,1,57.45733692,21.00679475,198.4450957,3747,5,15,"2",40,40,FALSE
"184","17",4,3101523.862,6709742.962,"0","0","TRUE",657.5650969,"TRUE",0.01,1,54.169719,42.85017993,198.4450957,3747,5,5,"2",40,1,FALSE
"185","17",5,3101523.862,6709742.962,"0","0","TRUE",657.5650969,"TRUE",0.1,1,65.74278115,30.59876206,198.4450957,3747,18,5,"2",1,10,FALSE
"186","17",6,3101523.862,6709742.962,"0","0","TRUE",657.5650969,"TRUE",0,1,50.47669687,21.68881144,198.4450957,3747,13,18,"2",10,0,FALSE
"187","17",7,3101523.862,6709742.962,"0","0","TRUE",657.5650969,"TRUE",0.15,1,29.12360036,27.13173244,198.4450957,3747,5,13,"2",0,15,FALSE
"188","17",8,3101523.862,6709742.962,"0","0","TRUE",657.5650969,"TRUE",0.15,1,77.01209523,15.05084452,198.4450957,3747,2,5,"2",15,15,FALSE
"194","20",2,3099277.855,6705228.471,"0","0","TRUE",1093.126335,"TRUE",1,1,13.28066083,56.28923836,146.5670312,4189,3,5,"2",5,100,FALSE
"195","20",3,3099277.855,6705228.471,"0","0","TRUE",1093.126335,"TRUE",0.3,1,48.62199824,18.21323375,146.5670312,4189,2,3,"2",100,30,FALSE
"196","20",4,3099277.855,6705228.471,"0","0","TRUE",1093.126335,"TRUE",0.01,1,49.4717012,48.67330254,146.5670312,4189,10,2,"2",30,1,FALSE
"197","20",5,3099277.855,6705228.471,"0","0","TRUE",1093.126335,"TRUE",0,1,65.7934166,22.92005539,146.5670312,4189,25,10,"2",1,0,FALSE
"198","20",6,3099277.855,6705228.471,"0","0","TRUE",1093.126335,"TRUE",0,1,40.59679612,20.29896597,146.5670312,4189,2,25,"2",0,0,FALSE
"199","20",7,3099277.855,6705228.471,"0","0","TRUE",1093.126335,"TRUE",0.1,1,39.53426996,39.80285123,146.5670312,4189,2,2,"2",0,10,FALSE
"200","20",8,3099277.855,6705228.471,"0","0","TRUE",1093.126335,"TRUE",0,1,69.82937207,14.10841524,146.5670312,4189,0.2,2,"2",10,0,FALSE
"206","21",2,3098800.207,6704936.699,"0","0","FALSE",1517.206356,"TRUE",0.9,1,12.87368528,50.25294913,159.1561631,2604,2,15,"2",15,90,FALSE
"207","21",3,3098800.207,6704936.699,"0","0","FALSE",1517.206356,"TRUE",0,1,45.30158565,20.52608845,159.1561631,2604,2,2,"2",90,0,FALSE
"208","21",4,3098800.207,6704936.699,"0","0","FALSE",1517.206356,"TRUE",0.01,1,43.46526256,52.99672192,159.1561631,2604,4,2,"2",0,1,FALSE
"209","21",5,3098800.207,6704936.699,"0","0","FALSE",1517.206356,"TRUE",0.05,1,65.07422481,23.39686876,159.1561631,2604,10,4,"2",1,5,FALSE
"210","21",6,3098800.207,6704936.699,"0","0","FALSE",1517.206356,"TRUE",0,1,39.6667504,25.30171019,159.1561631,2604,14,10,"2",5,0,FALSE
"211","21",7,3098800.207,6704936.699,"0","0","FALSE",1517.206356,"TRUE",0.05,1,37.61250115,34.15047272,159.1561631,2604,10,14,"2",0,5,FALSE
"212","21",8,3098800.207,6704936.699,"0","0","FALSE",1517.206356,"TRUE",0.07,1,69.4577414,15.0005726,159.1561631,2604,5,10,"2",5,7,FALSE
"218","23",2,3098749.581,6704245.571,"0","0","FALSE",1543.883979,"TRUE",0.8,1,26.06058532,51.74862988,170.8383591,4184,0.1,5,"2",6,80,FALSE
"219","23",3,3098749.581,6704245.571,"0","0","FALSE",1543.883979,"TRUE",0.25,1,50.55828312,23.44916752,170.8383591,4184,2,0.1,"2",80,25,FALSE
"220","23",4,3098749.581,6704245.571,"0","0","FALSE",1543.883979,"TRUE",0.01,1,39.56162191,66.01167321,170.8383591,4184,5,2,"2",25,1,FALSE
"221","23",5,3098749.581,6704245.571,"0","0","FALSE",1543.883979,"TRUE",0.02,1,70.90172769,30.23112626,170.8383591,4184,15,5,"2",1,2,FALSE
"222","23",6,3098749.581,6704245.571,"0","0","FALSE",1543.883979,"TRUE",0,1,39.21120163,27.84493964,170.8383591,4184,3.5,15,"2",2,0,FALSE
"223","23",7,3098749.581,6704245.571,"0","0","FALSE",1543.883979,"TRUE",0,1,40.57519206,32.33164565,170.8383591,4184,1.5,3.5,"2",0,0,FALSE
"224","23",8,3098749.581,6704245.571,"0","0","FALSE",1543.883979,"TRUE",0.5,1,76.55053317,14.08327293,170.8383591,4184,5,1.5,"2",0,50,FALSE
"230","24",2,3098717.072,6704478.435,"0","0","TRUE",1576.602793,"TRUE",0.4,1,26.06058532,51.74862988,168.8817314,1749,0.1,4,"2",5,40,FALSE
"231","24",3,3098717.072,6704478.435,"0","0","TRUE",1576.602793,"TRUE",0,1,50.55828312,23.44916752,168.8817314,1749,0,0.1,"2",40,0,FALSE
"233","24",5,3098717.072,6704478.435,"0","0","TRUE",1576.602793,"TRUE",0.05,1,70.90172769,30.23112626,168.8817314,1749,0.5,3,"2",2,5,FALSE
"234","24",6,3098717.072,6704478.435,"0","0","TRUE",1576.602793,"TRUE",0,1,39.21120163,27.84493964,168.8817314,1749,2,0.5,"2",5,0,FALSE
"235","24",7,3098717.072,6704478.435,"0","0","TRUE",1576.602793,"TRUE",0,1,40.57519206,32.33164565,168.8817314,1749,1.5,2,"2",0,0,FALSE
"236","24",8,3098717.072,6704478.435,"0","0","TRUE",1576.602793,"TRUE",0.1,1,76.55053317,14.08327293,168.8817314,1749,5,1.5,"2",0,10,FALSE
"242","25",2,3098707.87,6704672.347,"0","0","FALSE",1585.980528,"TRUE",0,1,26.06058532,51.74862988,166.852389,3559,0.5,0.5,"2",10,0,FALSE
"243","25",3,3098707.87,6704672.347,"0","0","FALSE",1585.980528,"TRUE",0,1,50.55828312,23.44916752,166.852389,3559,0,0.5,"2",0,0,FALSE
"245","25",5,3098707.87,6704672.347,"0","0","FALSE",1585.980528,"TRUE",0,1,70.90172769,30.23112626,166.852389,3559,5,3,"2",0,0,FALSE
"246","25",6,3098707.87,6704672.347,"0","0","FALSE",1585.980528,"TRUE",0,1,39.21120163,27.84493964,166.852389,3559,1.5,5,"2",0,0,FALSE
"247","25",7,3098707.87,6704672.347,"0","0","FALSE",1585.980528,"TRUE",0,1,40.57519206,32.33164565,166.852389,3559,0.2,1.5,"2",0,0,FALSE
"248","25",8,3098707.87,6704672.347,"0","0","FALSE",1585.980528,"TRUE",0.05,1,76.55053317,14.08327293,166.852389,3559,1,0.2,"2",0,5,FALSE
"254","27",2,3098432.257,6705526.897,"0","0","FALSE",1821.175618,"TRUE",0.7,1,14.26071019,49.20743794,146.0337698,3497,4,10,"2",15,70,FALSE
"255","27",3,3098432.257,6705526.897,"0","0","FALSE",1821.175618,"TRUE",0.7,1,45.0204264,25.00479215,146.0337698,3497,3,4,"2",70,70,FALSE
"258","27",6,3098432.257,6705526.897,"0","0","FALSE",1821.175618,"TRUE",0.01,1,36.16496227,29.54016416,146.0337698,3497,4,8,"2",5,1,FALSE
"259","27",7,3098432.257,6705526.897,"0","0","FALSE",1821.175618,"TRUE",0.15,1,39.54240775,29.9283282,146.0337698,3497,5,4,"2",1,15,FALSE
"260","27",8,3098432.257,6705526.897,"0","0","FALSE",1821.175618,"TRUE",0,1,68.50332647,17.5968899,146.0337698,3497,0.2,5,"2",15,0,FALSE
"278","30",2,3098332.267,6704764.23,"0","0","FALSE",1963.828202,"TRUE",0,1,24.11942616,50.95785518,169.055011,2248,0,0.7,"2",15,0,FALSE
"279","30",3,3098332.267,6704764.23,"0","0","FALSE",1963.828202,"TRUE",0,1,49.02932568,25.20518693,169.055011,2248,0,0,"2",0,0,FALSE
"280","30",4,3098332.267,6704764.23,"0","0","FALSE",1963.828202,"TRUE",0,1,42.74580528,66.52202167,169.055011,2248,0,0,"2",0,0,FALSE
"281","30",5,3098332.267,6704764.23,"0","0","FALSE",1963.828202,"TRUE",0,1,68.90935107,29.30990893,169.055011,2248,0,0,"2",0,0,FALSE
"282","30",6,3098332.267,6704764.23,"0","0","FALSE",1963.828202,"TRUE",0,1,43.69270282,29.40606592,169.055011,2248,0.1,0,"2",0,0,FALSE
"283","30",7,3098332.267,6704764.23,"0","0","FALSE",1963.828202,"TRUE",0,1,36.70971424,31.95264001,169.055011,2248,0,0.1,"2",0,0,FALSE
"294","31",6,3098376.437,6704816.894,"0","0","FALSE",1923.005177,"TRUE",0,1,43.69270282,29.40606592,167.3862952,3181,0.01,1,"2",0,0,FALSE
"295","31",7,3098376.437,6704816.894,"0","0","FALSE",1923.005177,"TRUE",0,1,36.70971424,31.95264001,167.3862952,3181,0.1,0.01,"2",0,0,FALSE
"296","31",8,3098376.437,6704816.894,"0","0","FALSE",1923.005177,"TRUE",0.05,1,77.55886805,13.86968797,167.3862952,3181,5,0.1,"2",0,5,FALSE
"302","32",2,3098355.065,6704423.99,"0","0","FALSE",1938.560586,"TRUE",0,1,24.11942616,50.95785518,171.5111342,1807,0,15,"2",15,0,FALSE
"303","32",3,3098355.065,6704423.99,"0","0","FALSE",1938.560586,"TRUE",0,1,49.02932568,25.20518693,171.5111342,1807,1,0,"2",0,0,FALSE
"304","32",4,3098355.065,6704423.99,"0","0","FALSE",1938.560586,"TRUE",0.01,1,42.74580528,66.52202167,171.5111342,1807,5,1,"2",0,1,FALSE
"305","32",5,3098355.065,6704423.99,"0","0","FALSE",1938.560586,"TRUE",0,1,68.90935107,29.30990893,171.5111342,1807,3,5,"2",1,0,FALSE
"306","32",6,3098355.065,6704423.99,"0","0","FALSE",1938.560586,"TRUE",0,1,43.69270282,29.40606592,171.5111342,1807,4,3,"2",0,0,FALSE
"307","32",7,3098355.065,6704423.99,"0","0","FALSE",1938.560586,"TRUE",0,1,36.70971424,31.95264001,171.5111342,1807,1.5,4,"2",0,0,FALSE
"308","32",8,3098355.065,6704423.99,"0","0","FALSE",1938.560586,"TRUE",0.05,1,77.55886805,13.86968797,171.5111342,1807,6,1.5,"2",0,5,FALSE
"314","33",2,3098239.942,6704923.451,"0","0","FALSE",1959.612156,"TRUE",0.8,1,24.11942616,50.95785518,165.7211038,2228,2,3,"2",8,80,FALSE
"315","33",3,3098239.942,6704923.451,"0","0","FALSE",1959.612156,"TRUE",0.2,1,49.02932568,25.20518693,165.7211038,2228,3,2,"2",80,20,FALSE
"316","33",4,3098239.942,6704923.451,"0","0","FALSE",1959.612156,"TRUE",0.05,1,42.74580528,66.52202167,165.7211038,2228,5,3,"2",20,5,FALSE
"317","33",5,3098239.942,6704923.451,"0","0","FALSE",1959.612156,"TRUE",0,1,68.90935107,29.30990893,165.7211038,2228,2,5,"2",5,0,FALSE
"318","33",6,3098239.942,6704923.451,"0","0","FALSE",1959.612156,"TRUE",0,1,43.69270282,29.40606592,165.7211038,2228,3,2,"2",0,0,FALSE
